 PDE   1999 0105083246.81  -18.502-174.067 33  N  1.055.3515.5Z686.00MwHRV  5.80MwGS   173143....G...........       
 PDE   1999 0112023225.59   26.741 140.170440  D 20.885.999      6.00MEGS   5.90MwGS   212362...FG...........       
 PDE   1999 0112084920.75   -5.421 151.681 42  D140.935.5495.9Z756.00MwHRV  5.00MEGS   192205....G...........       
 PDE   1999 0116104439.49   56.233-147.427 21  G  0.865.9995.7Z516.00MwGS   6.00MEGS   015523...FG...........       
 PDE   1999 0119033533.84   -4.596 153.235114  D251.345.8676.4Z547.00MwGS   6.20MEGS   190178...FG...........       
 PDE   1999 0124003704.63   30.618 131.086 33  N  0.926.1996.1Z456.40MwHRV  6.00MEGS   2354096F.FG...........       
 PDE   1999 0124070158.40  -21.132-174.659 33  N  1.045.7565.9Z656.10MwGS   5.80MEGS   173197....G...........       
 PDE   1999 0124080008.54  -26.463  74.476 10  G  0.806.0996.3Z346.30MwHRV  6.30MEGS   429405....G...........       
 PDE   1999 0125181916.87    4.461 -75.724 17  G  1.015.9995.7Z506.40MEGS   6.20MLRSNC 103497.C.FG..........S       
 PDE   1999 0128081005.42   52.886-169.123 67  D290.946.3996.1Z576.60MwGS   6.50MEGS   009586.D.FG...........       
 PDE   1999 0128182425.27   -4.582 153.658101  D 61.245.645      6.40MwGS   5.80MEGS   190131...FG...........       
 PDE   1999 0203011357.58  -20.305-174.365 33  N  1.085.8686.2Z636.30MwGS   6.00MEGS   173135...FG...........       
 PDE   1999 0204192800.81    4.033  95.283 55  D 30.875.8995.4Z486.10MEGS   5.90MwGS   7063674F.FG...........       
 PDE   1999 0206174524.47   19.200 121.265 33  N  0.895.4555.6Z516.00MwGS   6.00MwHRV  248153....G...........       
 PDE   1999 0206214759.47  -12.853 166.697 90  D191.176.3567.3Z547.30MwGS   7.20MEGS   184279...FG...........       
 PDE   1999 0211140851.68   34.259  69.364 33  N  1.305.4915.8Z546.00MwHRV  5.90MwGS   709124.C..G...........       
 PDE   1999 0213144512.73   -3.558 144.830 10  G  1.195.6356.3Z536.20MwHRV  6.10MwGS   200086....G...........       
 PDE   1999 0214211224.58  -15.507 167.996 10  G  0.965.9675.5Z386.00MwGS   5.90MEGS   186237...FG...........       
 PDE   1999 0222010032.89  -21.452 169.682 33  N  1.005.8606.4Z756.40MwGS   6.30MEGS   189293...FG...........       
 PDE   1999 0223072756.43    0.200 119.541 33  N  1.045.6535.8Z846.20MwGS   6.20MEGS   2651514F.FG...........       
 PDE   1999 0225185829.40   51.604 104.864 10  G  0.995.9995.5Z656.00MwCSE  5.90MEGS   3273176D..G...........       
 PDE   1999 0304053826.52   28.343  57.193 33  N  0.926.2996.5Z796.60MwHRV  6.00MEGS   353368.C.FG...........       
 PDE   1999 0304085201.90    5.397 121.937 33  N  1.176.4776.5Z797.10MwHRV  6.90MEGS   2622515D..G...........       
 PDE   1999 0305033514.71  -34.673 -69.600 10  G  1.035.2385.5Z326.00MwHRV  5.60MDGUC  127103....G...........       
 PDE   1999 0307203544.16  -15.766-179.526 33  N  1.025.4486.1Z586.60MEGS   6.10MwGS   181127...FG...........       
 PDE   1999 0308122548.99   52.056 159.520 56  D 71.135.799      7.00MwOBN  6.40MEGS   2194305F.FG...........       
 PDE   1999 0318175543.24   41.097 142.971 41  D310.835.9995.6Z756.00MEGS   5.90MwGS   2244205F.FG...........       
 PDE   1999 0320104745.93   51.587-177.668 33  N  0.906.3996.8Z717.00MEGS   6.90MwHRV  007540.F.FG...........       
 PDE   1999 0321161602.20   55.896 110.214 10  G  0.885.5995.7Z686.00MwOBN  5.90MwHRV  3273116F..G...........       
 PDE   1999 0328190511.03   30.512  79.403 15  G  1.036.4996.6Z876.60MwGS   6.60MEGS   305409.C.FG..........S       
 PDE   1999 0331055442.13    5.827 -82.616 10  G  1.095.9996.1Z817.00MEGS   5.90MDUPA  083273...FG...........       
 PDE   1999 0401213621.17   -4.357 152.707 33  N  0.895.6506.1Z816.20MwHRV  6.00MwGS   1922456D..G...........       
 PDE   1999 0402170547.11  -19.899 168.193 10  G  0.906.1586.0Z846.40MEGS   6.20MwHRV  186394....G...........       
 PDE   1999 0403061718.36  -16.660 -72.662 87  D290.856.1996.2Z806.80MwGS   6.50MEGS   1154226C.FG..........S       
 PDE   1999 0403101030.70   13.173 -87.634 38     0.905.5995.7Z826.00MwHRV  5.90MDCASC 072266.D..G...........       
 PDE   1999 0405110804      -5.591 149.568150  G  1.056.2607.0Z777.40MwGS   7.30MEGS   192233.F.FG...........       
 PDE   1999 0406082214.27   -6.527 147.007 33  N  1.315.8466.3Z796.40MwGS   6.10MLPMG  207218.F.FG...........       
 PDE   1999 0408131034.08   43.607 130.350565  D580.846.499      7.10MwGS   7.10MEGS   6576454F.FG...........       
 PDE   1999 0409121601.89  -26.354 178.221621  D310.995.566      6.20MwHRV  5.60MEGS   171274...FG...........       
 PDE   1999 0411165039.16   -6.000 148.495 58     0.985.6405.7Z786.00MwGS   5.50MEGS   192131...FG...........       
 PDE   1999 0413103848.40  -21.422-176.460164  D370.806.484      6.80MwGS   6.80MEGS   181464...FG...........       
 PDE   1999 0420190408.32  -31.888-179.040 95  D200.896.261      6.60MEGS   6.50MwGS   177385.F.FG...........       
 PDE   1999 0426181726.22   -1.648 -77.783172  D990.745.699      6.00MwGS   5.80MEGS   107435...FG...........       
 PDE   1999 0505224130.17   14.364 -94.673 33  N  1.115.8995.5Z796.30MEGS   5.60MLCAS  068336...FG...........       
 PDE   1999 0506230053.12   29.501  51.880 33  N  0.995.9996.3Z746.20MwHRV  6.20MsBRK  353358.C..G...........       
 PDE   1999 0507141352.36   56.416-152.939 20  G  0.855.7996.1Z776.20MwGS   5.80MEGS   013394.F.FG...........       
 PDE   1999 0508194435.95   45.449 151.630 62  D550.836.2995.3Z835.90MwGS   5.90MEGS   2215112F.FG...........       
 PDE   1999 0508221245.51   14.214 -91.945 39     0.745.3995.7Z516.10MwGS   5.40MDUNM  070323.F..G...........       
 PDE   1999 0510203302.09   -5.159 150.880138  D 60.936.5376.8Z337.10MwGS   7.00MEGS   192430.F.FG...........       
 PDE   1999 0511010040.92  -36.102-110.640 10  G  0.815.1285.5Z526.00MwHRV             684068....G...........       
 PDE   1999 0512175922.40   43.032 143.835102  D580.805.999      6.50MEGS   6.20MwGS   2244516F.FG...........       
 PDE   1999 0516005120.46   -4.751 152.486 73     0.956.0527.0Z627.10MwHRV  6.40MEGS   192346.F.FG...........       
 PDE   1999 0516152553.81   -2.642 138.217 59  D200.896.1496.2Z546.40MwHRV  6.40MEGS   2012463F.FG...........       
 PDE   1999 0517100756.45   -5.165 152.877 27  G  0.995.5426.9Z666.60MwHRV  6.00MEGS   192271...FG...........       
 PDE   1999 0518041953.34   -5.650 148.533127  D 80.985.527      6.10MwHRV             192165....G...........       
 PDE   1999 0522100853.71  -20.731 169.881 33  N  1.015.5535.7Z796.10MwGS   6.00MwHRV  186167....G...........       
 PDE   1999 0606070805.86   13.897 -90.768 33  N  1.255.5995.9Z796.30MwGS   5.80MDUNM  071301.F.FG...........       
 PDE   1999 0615204205.93   18.386 -97.436 70  G  1.066.4996.5Z707.00MwHRV  6.70MEGS   5235168C.FG..........S       
 PDE   1999 0618105525.75    5.514 126.639 33  N  0.876.1766.1Z856.40MwHRV  6.40MEGS   259268.F.FG...........       
 PDE   1999 0621174304.52   18.324-101.539 68  D361.076.0995.8Z686.30MwHRV  5.80MDUNM  059352.D.FG...........       
 PDE   1999 0622004742.90   -4.508 133.947 33  N  0.995.7325.5Z866.00MEGS   5.70MwGS   196150...FG...........       
 PDE   1999 0626220528.93  -17.956-178.187590  D310.905.367      6.00MwHRV             181340....G...........       
 PDE   1999 0629055008.92   -9.468 147.854 33  N  0.935.8485.4Z826.00MLPMG  5.80MEGS   207219.F.FG...........       
 PDE   1999 0702114531.29   49.371-129.203 10  G  1.035.4995.7Z596.40MEGS   6.00MwGS   025223...FG...........       
 PDE   1999 0703053010.09   26.323 140.482430  D 80.936.099      6.10MwGS   5.90MEGS   212478...FG...........       
 PDE   1999 0707185257.02   49.233 155.559 33  N  0.806.0995.6Z826.10MwHRV  5.60MEGS   2214625F.FG...........       
 PDE   1999 0709050442.68   -6.514 154.944 29  G  1.025.8656.2Z816.30MwGS   5.80MEGS   193252...FG...........       
 PDE   1999 0711141416.53   15.782 -88.330 10  G  1.016.0996.6Z817.00MEGS   6.70MwGS   072434.C.FG...........       
 PDE   1999 0718103403.22  -22.546 179.412590  D180.885.463      6.00MwGS   5.90MwHRV  171309....G...........       
 PDE   1999 0719021703.66  -28.629-177.608 39  G  0.936.3686.2Z766.50MwHRV  6.50MEGS   177411.F.FG...........       
 PDE   1999 0726013320.20   -5.151 151.942 69     0.835.869      6.20MwHRV  5.90MEGS   192386.F.FG...........       
 PDE   1999 0728001657.51  -28.690-177.523 33  N  0.955.9535.7Z446.10MwGS   5.80MEGS   177325.F.FG...........       
 PDE   1999 0728100820.60  -30.285-178.014 25  G  1.076.1756.0Z796.30MwGS   6.10MEGS   178412.F.FG...........       
 PDE   1999 0801083904.90  -30.367-177.832 10  G  0.825.7586.4Z716.50MwHRV  6.20MEGS   178275....G...........       
 PDE   1999 0812054459.59   -1.716 122.456 33  N  1.335.8485.8Z806.20MwGS   6.20MwHRV  2681906F..G...........       
 PDE   1999 0814001652.29   -5.885 104.711101  D100.986.0795.7Z686.40MwGS   6.30MEGS   2743803F.FG...........       
 PDE   1999 0817000139.13   40.748  29.864 17  G  1.276.3997.8Z617.70MEGS   6.70MDISK  366381.C.FG....F......       
 PDE   1999 0820100221.10CA  9.044 -84.159 20  G      6.1996.9Z886.90MwHRV  6.10MLCASC 078542.D.FG...........       
 PDE   1999 0821215111.47  -58.311 -13.196 10  G  1.025.4125.6Z596.20MwGS   6.20MwHRV  156076....G...........       
 PDE   1999 0822093539.47  -40.509 -74.756 33  N  1.056.2775.8Z586.40MwHRV  6.30MEGS   1433034F.FG...........       
 PDE   1999 0822124045.96  -16.117 168.039 33  N  1.096.3686.2Z756.60MwHRV  6.50MEGS   186272.F.FG..........S       
 PDE   1999 0826073928.92   -3.522 145.657 33  N  1.245.6416.2Z746.60MEGS   6.20MwGS   200116...FG...........       
 PDE   1999 0828124006.19   -1.287 -77.549196  D710.865.999      6.30MwGS   6.20MEGS   107576...FG...........       
 PDE   1999 0829004613.46    3.103  65.855 10  G  1.065.8995.6Z866.00MwGS   5.90MEGS   421286...FG...........       
 PDE   1999 0907115649.38   38.119  23.605 10  G  1.125.6995.8Z726.00MwHRV  5.70MEGS   3644169C.FG...........       
 PDE   1999 0910193744.81  -32.831-178.270 33  N  1.195.3295.8Z776.00MwGS   5.80MwHRV  179082....G...........       
 PDE   1999 0915030124.34  -20.934 -67.275218  D430.986.099      6.40MwGS   6.20MEGS   1254815F.FG...........       
 PDE   1999 0917145448.72  -13.790 167.238196  D520.995.9755.5Z416.30MwGS   5.90MEGS   186380...FG...........       
 PDE   1999 0918212833.17   51.207 157.556 60  D270.895.9995.6Z746.00MwGS   5.50MEGS   2184856F.FG...........       
 PDE   1999 0920174718.49   23.772 120.982 33  N  1.116.5997.7Z717.70MwHRV  7.20MEGS   244367XC.FG....5.....S       
 PDE   1999 0920175716.09   23.785 121.202 33  N  0.836.184      6.30MLTAP             2442576F..............       
 PDE   1999 0920180344.29   23.570 121.299 33  N  1.426.380      6.60MLTAP             2442106F..............       
